Id,MSSubClass,MSZoning,LotFrontage,LotArea,Paved,LotShape,LandContour,Utilities,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SaleType,SaleCondition,Bath,SalePrice
1,239948,191004,65,8450,1,1,180183,1,179956,185763,210051,7,5,2003,2003,171483,179803,213732,214432,204691,196,2,3,225230,3,3,1,706,0,150,856,4,1,854,1710,3,1,2,8,6,0,1,202892,2003,202068,2,548,3,187885,2,173401,175202,25,208500
2,185224,191004,80,9600,1,1,180183,1,179956,185763,175985,6,8,1976,1976,171483,179803,149422,149803,156221,0,1,3,149805,3,3,4,978,0,284,1262,4,1,0,1262,3,1,1,6,6,1,3,202892,1976,202068,2,460,3,187885,2,173401,175202,20,181500
3,239948,191004,68,11250,1,0,180183,1,179956,185763,210051,7,5,2001,2002,171483,179803,213732,214432,204691,162,2,3,225230,3,3,2,486,0,434,920,4,1,866,1786,3,1,2,6,6,1,3,202892,2001,202068,2,608,3,187885,2,173401,175202,25,223500
4,166772,191004,60,9550,1,0,180183,1,179956,185763,210051,7,5,1915,1970,171483,179803,149841,161328,156221,0,1,3,132291,2,4,1,216,0,540,756,3,1,756,1717,3,1,2,7,6,1,4,134091,1998,142156,3,642,3,187885,2,173401,146526,10,140000
5,239948,191004,84,14260,1,0,180183,1,179956,185763,210051,8,5,2000,2000,171483,179803,213732,214432,204691,350,2,3,225230,3,3,3,655,0,490,1145,4,1,1053,2198,4,1,2,9,6,1,3,202892,2000,202068,3,836,3,187885,2,173401,175202,25,250000
6,143302,191004,85,14115,1,0,180183,1,179956,185763,143116,5,5,1993,1995,171483,179803,213732,214432,156221,0,1,3,185100,3,3,1,732,0,64,796,4,1,566,1362,1,1,1,5,6,0,1,202892,1993,142156,2,480,3,187885,2,173401,175202,15,143000
7,185224,191004,75,10084,1,1,180183,1,179956,185763,175985,8,5,2004,2005,171483,179803,213732,214432,265583,186,2,3,225230,4,3,3,1369,0,317,1686,4,1,0,1694,3,1,2,7,6,1,4,202892,2004,202068,2,636,3,187885,2,173401,175202,20,307000
8,239948,191004,69,10382,1,0,180183,1,179956,185763,210051,7,6,1973,1973,171483,179803,163077,167661,265583,240,1,3,149805,3,3,2,859,32,216,1107,4,1,983,2090,3,1,1,7,6,2,3,202892,1973,202068,2,484,3,187885,2,173401,175202,25,200000
9,143302,126316,51,6120,1,1,180183,1,179956,185763,143116,7,5,1931,1950,171483,179803,194573,161328,156221,0,1,3,132291,2,3,1,0,0,952,952,3,1,752,1774,2,2,1,8,3,2,3,134091,1931,142156,2,468,2,187885,2,173401,146526,20,129900
10,129613,191004,50,7420,1,1,180183,1,179956,128432,110150,5,6,1939,1950,171483,179803,149422,149803,156221,0,1,3,132291,2,3,1,851,0,140,991,4,1,0,1077,2,2,1,5,6,2,3,202892,1939,202068,1,205,4,187885,2,173401,175202,10,118000
11,185224,191004,70,11200,1,1,180183,1,179956,185763,175985,5,5,1965,1965,218876,179803,163077,167661,156221,0,1,3,149805,2,3,1,906,0,134,1040,4,1,0,1040,3,1,1,5,6,0,1,134091,1965,142156,1,384,3,187885,2,173401,175202,10,129500
12,239948,191004,85,11924,1,0,180183,1,179956,185763,210051,9,5,2005,2006,218876,179803,150655,161328,265583,286,3,3,225230,4,3,1,998,0,177,1175,4,1,1142,2324,4,1,3,11,6,2,4,254751,2005,240052,3,736,3,187885,2,274945,272291,30,345000
13,185224,191004,69,12968,1,0,180183,1,179956,185763,175985,5,6,1962,1962,218876,179803,163077,168112,156221,0,1,3,149805,2,3,1,737,0,175,912,2,1,0,912,2,1,1,4,6,0,1,134091,1962,142156,1,352,3,187885,2,173401,175202,10,144000
14,185224,191004,91,10652,1,0,180183,1,179956,185763,175985,7,5,2006,2007,171483,179803,213732,214432,265583,306,2,3,225230,3,3,3,0,0,1494,1494,4,1,0,1494,3,1,2,7,6,1,4,202892,2006,202068,3,840,3,187885,2,274945,272291,20,279500
15,185224,191004,69,10920,1,0,180183,1,179956,185763,175985,6,5,1960,1960,218876,179803,149422,149803,204691,212,1,3,149805,2,3,1,733,0,520,1253,2,1,0,1253,2,1,1,5,6,1,2,202892,1960,202068,1,352,3,187885,2,173401,175202,15,157000
16,108592,126316,51,6120,1,1,180183,1,179956,185763,110150,7,8,1929,2001,171483,179803,149841,148386,156221,0,1,3,132291,2,3,1,0,0,832,832,4,1,0,854,2,1,1,5,6,0,1,134091,1991,142156,2,576,3,187885,2,173401,175202,10,132000
17,185224,191004,69,11241,1,0,180183,1,179956,185763,175985,6,7,1970,1970,171483,179803,149841,148386,204691,180,1,3,149805,2,3,1,578,0,426,1004,4,1,0,1004,2,1,1,5,6,1,3,202892,1970,240052,2,480,3,187885,2,173401,175202,10,149000
18,133541,191004,72,10791,1,1,180183,1,179956,133541,175985,4,5,1967,1967,171483,179803,149422,149803,156221,0,1,3,107365,0,1,0,0,0,0,0,2,1,0,1296,2,2,1,6,6,0,1,109985,1967,142156,2,516,3,187885,2,173401,175202,20,90000
19,185224,191004,66,13695,1,1,180183,1,179956,185763,175985,5,5,2004,2004,171483,179803,213732,214432,156221,0,1,3,225230,2,3,1,646,0,468,1114,4,1,0,1114,3,1,2,6,6,0,1,134091,2004,142156,2,576,3,187885,2,173401,175202,15,159000
20,185224,191004,70,7560,1,1,180183,1,179956,185763,175985,5,6,1958,1965,218876,179803,194573,168112,156221,0,1,3,149805,2,3,1,504,0,525,1029,2,1,0,1339,3,1,1,6,3,0,1,202892,1958,142156,1,294,3,187885,2,143973,146526,10,139000
21,239948,191004,101,14215,1,0,180183,1,179956,185763,210051,8,5,2005,2006,171483,179803,213732,214432,204691,380,2,3,225230,4,3,3,0,0,1158,1158,4,1,1218,2376,4,1,2,9,6,1,4,254751,2005,202068,3,853,3,187885,2,274945,272291,35,325300
22,108592,126316,57,7449,1,1,143104,1,179956,185763,110150,7,7,1930,1950,171483,179803,149841,148386,156221,0,1,3,225230,2,3,1,0,0,637,637,4,1,0,1108,3,1,2,6,6,1,4,202892,1930,142156,1,280,3,187885,0,173401,175202,10,139400
23,185224,191004,75,9742,1,1,180183,1,179956,185763,175985,8,5,2002,2002,218876,179803,213732,214432,204691,281,2,3,225230,3,3,1,0,0,1777,1777,4,1,0,1795,3,1,2,7,6,1,4,202892,2002,202068,2,534,3,187885,2,173401,175202,20,230000
